"","x"
"1",1.00435015536962
"2",0.71290686005278
"3",0.723079517484676
"4",1.67357095382288
"5",1.10079312663422
"6",1.15003284379684
"7",0.778654406262943
"8",0.669122459555099
"9",1.00688932047971
"10",0.898810314880693
"11",1.05850646445689
"12",0.858764174279657
"13",1.32487490646182
"14",0.697318247316698
"15",0.755100453078378
"16",1.37525821930439
"17",0.884484720571318
"18",0.938985971575251
"19",1.10838277667856
"20",0.951081364669487
"21",0.983376666948445
"22",0.877309706160884
"23",0.688323193673438
"24",1.1688108834495
"25",1.00063469400131
"26",0.778714973357743
"27",0.554570480343613
"28",0.730426376071521
"29",1.09708683789455
"30",1.06212032701059
"31",1.23484957814145
"32",0.952754913704887
"33",0.825522093201289
"34",1.06354418676568
"35",0.828470775191947
"36",1.14964117452213
"37",1.05558221570385
"38",1.01004734007999
"39",1.19382455647152
"40",1.14305473670932
"41",0.705151613385156
"42",1.08164540356984
"43",0.915167053094753
"44",1.20990299673469
"45",1.08980376736812
"46",1.17882891088849
"47",1.17792111313518
"48",0.995644340642519
"49",1.33619251365752
"50",0.888406251875331
"51",1.23447373171019
"52",0.895880947837775
"53",0.94414503511
"54",0.7439667645853
"55",0.955314465775552
"56",0.959284772659154
"57",1.11933024963532
"58",0.79462228897815
"59",1.22085414447699
"60",0.939700421056934
"61",1.11764914551969
"62",0.810407221911448
"63",0.612024966766145
"64",1.05675358686653
"65",0.881458315941922
"66",1.19331973017755
"67",1.12143563669738
"68",0.95870727627217
"69",0.800415404343653
"70",1.18028114886559
"71",0.943961979049972
"72",0.921880429989337
"73",1.25314560798252
"74",0.914219539299221
"75",1.22980927548556
"76",1.00007643719822
"77",0.838761956389719
"78",1.21252892083883
"79",0.882405330442048
"80",1.16615352929407
"81",0.929943792399392
"82",0.734261089647719
"83",0.938719069151821
"84",1.10675097756366
"85",1.09099940796037
"86",1.40496169149716
"87",1.1012323899888
"88",0.941030098477996
"89",0.829574436092282
"90",1.27055821270587
"91",1.26440724628941
"92",0.984067706710171
"93",1.28179695482313
"94",1.14152967679029
"95",0.946509803167684
"96",1.18438527893581
"97",0.754626115927657
"98",0.875134027971011
"99",0.617016117258899
"100",0.761182914614132
"101",1.02592202340261
"102",1.20464815492816
"103",0.972857595388401
"104",0.903992518403165
"105",0.876652834115307
"106",0.974650473218826
"107",0.567416142486262
"108",1.00113758674974
"109",0.893737510476607
"110",1.15851349854801
"111",0.828090580522685
"112",1.36582857422907
"113",0.714030417220415
"114",0.766752190261917
"115",1.07206604783312
"116",0.930370178836744
"117",1.06854359187665
"118",1.2387755359053
"119",0.868419207847584
"120",1.25361045355606
"121",1.1974141054144
"122",0.747857748090097
"123",0.826675733356086
"124",1.16862121463724
"125",0.726649183470345
"126",1.42366003113298
"127",1.12355744671864
"128",0.873294366171876
"129",0.62590975217765
"130",0.983446361297178
"131",0.843792263474405
"132",1.61483199884201
"133",1.37899586256021
"134",1.43491406513864
"135",1.48612517702671
"136",1.17667384849243
"137",1.66513118924933
"138",1.36947949435158
"139",1.94706540166949
"140",1.39616838565818
"141",1.59585673211567
"142",1.6935373291563
"143",1.27184534412757
"144",1.63122255922836
"145",1.49208461665064
"146",1.74111994379488
"147",1.70626688777981
"148",1.486282205849
"149",1.23695068125861
"150",1.34100683630431
"151",1.33178574392394
"152",1.90726613127962
"153",1.53248327516951
"154",1.49045954423525
"155",1.51970474137736
"156",1.3471627149546
"157",1.20520543244926
"158",1.61712429573922
"159",1.75165490308014
"160",1.39045970200521
"161",1.55380825325674
"162",1.51539611076487
"163",1.6433040549076
"164",1.76295873562852
"165",1.8175988819514
"166",1.64409598723634
"167",1.39504636230503
"168",1.50032920944016
"169",1.46468619714134
"170",1.0168796727568
"171",1.51247314394085
"172",1.39910313000836
"173",1.51884212164367
"174",1.51365048380398
"175",1.18011426600508
"176",1.17352323596562
"177",1.2635012797066
"178",1.93275795142404
"179",1.26567514555781
"180",1.54751752424786
"181",1.54187081427902
"182",1.38874715724041
"183",0.891131093955828
"184",1.61694184419797
"185",1.44218488542918
"186",1.54620138311285
"187",1.17341493310542
"188",1.27983824703905
"189",1.41735423358249
"190",1.17594958788133
"191",1.60248837131747
"192",1.501607851298
"193",1.81076062746209
"194",1.47113342194169
"195",1.83718500300287
"196",1.82482379733015
"197",1.45729379613457
"198",1.30306673125134
"199",1.52496775050935
"200",1.7867474184102
"201",1.15416070907928
"202",1.365477394007
"203",1.45957562513705
"204",1.56778637322127
"205",1.09368079966625
"206",1.51671222945156
"207",1.44958122429627
"208",1.84658125032946
"209",1.41388455324419
"210",1.69839115120308
"211",0.918928882331829
"212",1.34415478844526
"213",1.67940345773715
"214",1.69949911747516
"215",1.46613344003331
"216",1.34433180125889
"217",1.45975185803139
"218",1.53482105908199
"219",1.45015874219116
"220",1.48667808087036
"221",1.90561105510644
"222",1.48490630010914
"223",1.7016615545972
"224",1.7518016332863
"225",1.4262892156683
"226",1.2456510016028
"227",1.47398732436242
"228",1.45467399015974
"229",1.76573183842346
"230",1.6712542642074
"231",1.22800845433686
"232",1.73664953014038
"233",1.4107980793235
"234",1.70880033888005
"235",1.88907356913479
"236",1.79462196690148
"237",1.52199598110438
"238",1.68292700598664
"239",1.46260737747986
"240",1.43890170404215
"241",1.7017304557257
"242",6.47945120065015
"243",5.9543581577864
"244",6.26186778099275
"245",5.89392634414545
"246",6.06350819162132
"247",5.83164738118164
"248",5.95421388373219
"249",6.12015179060898
"250",5.80453866350924
"251",5.8373125616255
"252",5.74679669704766
"253",6.20109819983442
"254",6.33558204460807
"255",5.68617175302751
"256",6.22150535593944
"257",5.85136374150419
"258",6.34069314029642
"259",5.91269828387667
"260",5.91706934820458
"261",6.14195988804326
"262",5.96259911223986
"263",6.19152109365834
"264",6.01286293512687
"265",5.95397555853641
"266",6.08451058158128
"267",6.03959356430668
"268",5.90024101048716
"269",6.18745603838612
"270",5.91614471888869
"271",6.51167713355853
"272",6.0417978749342
"273",6.27832150547694
"274",6.41235862441079
"275",6.12639196957513
"276",5.93199945780619
"277",6.08802743668613
"278",6.06400614463379
"279",5.88400771846483
"280",6.07697975510506
"281",5.69997906327133
"282",5.91070757346608
"283",0.944389766399999
"284",0.963286436640947
"285",0.781833193384137
"286",1.21703853689542
"287",0.905631508482152
"288",0.517863983136965
"289",1.01798135898183
"290",0.99375778265668
"291",1.11673997221716
"292",1.21098772110779
"293",1.24443339812495
"294",1.10614565782243
"295",1.1912514074409
"296",0.940656046526066
"297",1.18374130620244
"298",0.883381993739336
"299",1.10341342371759
"300",1.11252271482701
"301",0.967932025652816
"302",0.906063965696253
"303",1.25564858161182
"304",1.06393985868413
